account,clientid,exchange,execid,expiry,orderid,permid,price,qty,side,symbol,symbol_currency,times
DU159913,0,IDEALPRO,0001f4e8.56dcab58.01.01,,2147483647,113960949,1.0994,50000,BOT,EUR,USD,20160307  07:15:00
DU159913,961,IDEALPRO,0001f4e8.56dcadef.01.01,,1,582675136,1.09965,25000,SLD,EUR,USD,20160307  08:02:23
DU159913,529,IDEALPRO,0001f4e8.56dcadf1.01.01,,1,582675137,1.09965,25000,SLD,EUR,USD,20160307  08:02:34
DU159913,1284,IDEALPRO,0001f4e8.56dcadf2.01.01,,1,582675138,1.42225,25000,SLD,GBP,USD,20160307  08:02:35
DU159913,2056,IDEALPRO,0001f4e8.56dcadf5.01.01,,1,582675139,1.4222,25000,SLD,GBP,USD,20160307  08:02:46
DU159913,8914,IDEALPRO,0001f4e8.56dcb11b.01.01,,1,582675150,1.0994,25000,BOT,EUR,USD,20160307  09:02:27
DU159913,8277,IDEALPRO,0001f4e8.56dcb120.01.01,,1,582675151,1.0994,25000,BOT,EUR,USD,20160307  09:02:38
DU159913,6879,IDEALPRO,0001f4e8.56dcb6b5.01.01,,1,582675180,1.0988,25000,SLD,EUR,USD,20160307  11:02:18
DU159913,9010,IDEALPRO,0001f4e8.56dcb6b7.01.01,,1,582675181,1.0988,25000,SLD,EUR,USD,20160307  11:02:30
DU159913,2932,IDEALPRO,0001f4e8.56dcb6bd.01.01,,1,582675182,1.33445,25000,SLD,USD,CAD,20160307  11:03:11
DU159913,5095,IDEALPRO,0001f4e8.56dcb6c0.01.01,,1,582675183,1.3345,25000,SLD,USD,CAD,20160307  11:03:25
DU159913,645,IDEALPRO,0001f4e8.56dcb862.01.01,,1,582675206,1.09895,25000,BOT,EUR,USD,20160307  12:02:18
DU159913,4297,IDEALPRO,0001f4e8.56dcb863.01.01,,1,582675207,1.09895,25000,BOT,EUR,USD,20160307  12:02:30
DU159913,7067,IDEALPRO,0001f4e8.56dcb9ba.01.01,,1,1742931839,1.09905,25000,SLD,EUR,USD,20160307  13:02:31
DU159913,1605,IDEALPRO,0001f4e8.56dcb9bd.01.01,,1,1742931840,1.09905,25000,SLD,EUR,USD,20160307  13:02:43
DU159913,8805,IDEALPRO,0001f4e8.56dcb9bf.01.01,,1,1742931841,1.42134,25000,BOT,GBP,USD,20160307  13:02:48
DU159913,943,IDEALPRO,0001f4e8.56dcb9c2.01.01,,1,1742931842,1.4213,25000,BOT,GBP,USD,20160307  13:02:59
DU159913,9499,IDEALPRO,0001f4e8.56dcb9ce.01.01,,1,1742931843,1.3341,25000,BOT,USD,CAD,20160307  13:03:30
DU159913,948,IDEALPRO,0001f4e8.56dcb9cf.01.01,,1,1742931844,1.3341,25000,BOT,USD,CAD,20160307  13:03:41
DU159913,5835,IDEALPRO,0001f4e8.56dcbb16.01.01,,1,1742931883,1.421,25000,SLD,GBP,USD,20160307  14:02:36
DU159913,6669,IDEALPRO,0001f4e8.56dcbb19.01.01,,1,1742931884,1.42105,25000,SLD,GBP,USD,20160307  14:02:49
DU159913,1346,IDEALPRO,0001f4e8.56dcbe64.01.01,,1,1742931969,0.9944,25000,BOT,USD,CHF,20160307  16:02:40
DU159913,5029,IDEALPRO,0001f4e8.56dcbe67.01.01,,1,1742931970,0.9944,25000,BOT,USD,CHF,20160307  16:02:51
